generator,prompt_regime,category,class_name,band,real_test_images,ap_mean,ap_std
realvisxl-lightning,maxlen,local,american black bear,D,2097,0.07236539199948311,0.0014118930833346306
realvisxl-lightning,maxlen,local,aye-aye,A,29,0.001879547897260636,0.0006062689979848605
realvisxl-lightning,maxlen,local,grevy's zebra,B,224,0.0063629006035625935,7.460387313133033e-05
realvisxl-lightning,maxlen,local,kinkajou,A,160,0.005265006446279585,0.00464051998019465
realvisxl-lightning,maxlen,local,lion,D,2097,0.027816765010356903,0.0010316916312739196
realvisxl-lightning,maxlen,local,mountain zebra,D,467,0.05266127549111843,0.0005504194023060525
realvisxl-lightning,maxlen,local,pangolin family,A,52,0.005526433233171701,0.00048178194241704563
realvisxl-lightning,maxlen,local,plains zebra,D,2079,0.0671343095600605,0.019954188351459904
realvisxl-lightning,maxlen,local,red fox,D,2150,0.03286031633615494,0.004280328567645121
realvisxl-lightning,maxlen,local,ringtail,A,186,0.0016648554883431643,0.0010848875806987793
realvisxl-lightning,maxlen,local,saiga,A,50,0.0013246860180515796,0.0004990576639720515
realvisxl-lightning,maxlen,local,water deer,A,151,0.003297876799479127,0.0019238966210397654
sd35m,maxlen,local,american black bear,D,2097,0.1871461719274521,0.024170754005664107
sd35m,maxlen,local,aye-aye,A,29,0.0009024460159707814,0.000217989715512138
sd35m,maxlen,local,grevy's zebra,B,224,0.025654518976807594,0.0010746392699065206
sd35m,maxlen,local,kinkajou,A,160,0.0024941092706285417,0.0010197335331437788
sd35m,maxlen,local,lion,D,2097,0.07736480236053467,0.008469230084157984
sd35m,maxlen,local,mountain zebra,D,467,0.045232102274894714,0.012077290076274026
sd35m,maxlen,local,pangolin family,A,52,0.0026211662916466594,0.0009279341574103213
sd35m,maxlen,local,plains zebra,D,2079,0.13392215222120285,0.01788289728646021
sd35m,maxlen,local,red fox,D,2150,0.14126784354448318,0.010690874762864231
sd35m,maxlen,local,ringtail,A,186,0.0017772270366549492,0.0004117533072549253
sd35m,maxlen,local,saiga,A,50,0.011534207034856081,0.00010230554785962342
sd35m,maxlen,local,water deer,A,151,0.015290972776710987,0.002658577105951637
flux2-klein-9b,maxlen,local,american black bear,D,2097,0.11842884868383408,0.00469305158168805
flux2-klein-9b,maxlen,local,aye-aye,A,29,0.006625397363677621,0.0022054481058046654
flux2-klein-9b,maxlen,local,grevy's zebra,B,224,0.017504900693893433,0.005973507083763426
flux2-klein-9b,maxlen,local,kinkajou,A,160,0.006358684506267309,0.0021506028728185945
flux2-klein-9b,maxlen,local,lion,D,2097,0.0367418359965086,0.0013855486688372901
flux2-klein-9b,maxlen,local,mountain zebra,D,467,0.02978905476629734,0.0022733351542268258
flux2-klein-9b,maxlen,local,pangolin family,A,52,0.0011324216320645064,0.00033536235012408854
flux2-klein-9b,maxlen,local,plains zebra,D,2079,0.1335565224289894,0.010204078662563405
flux2-klein-9b,maxlen,local,red fox,D,2150,0.08658665046095848,0.0042490398009818455
flux2-klein-9b,maxlen,local,ringtail,A,186,0.0008076440135482699,0.00028404271747956673
flux2-klein-9b,maxlen,local,saiga,A,50,0.002278679923620075,0.0014486574006275915
flux2-klein-9b,maxlen,local,water deer,A,151,0.0017630428774282336,0.00011264601372396808
